id,name,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
538V6gFAnhcLZrg6I8lIMI,"Hungry Cheetah (From ""They Call Him OG"")",0.736,0.436,0.99,0.0301,0.303,0.301,-4.26,0.136,94.975,4,4
30CBQmKZ0fugbhs7ExGT1e,"Gumma (From ""Ambajipeta Marriage Band"")",0.802,0.505,0.749,0,0.132,0.885,-8.016,0.314,156.954,2,4
6EQVXaIi22Ilmkt1Coi9gZ,"Souraa (From ""Bharateeyudu 2"")",0.678,0.244,0.928,3.36E-05,0.0634,0.282,-6.786,0.093,117.006,4,4
5bnxMZqd9Kpn9ByHj3Dc9C,"Pushpa Pushpa (From ""Pushpa 2 The Rule"") [TELUGU]",0.819,0.33,0.77,0.0566,0.0825,0.692,-10.293,0.0935,152.054,2,4
1g9V1QE7vbeAx5Xm04DfLi,"Odiyamma (From ""Hi Nanna"") [TELUGU]",0.751,0.615,0.698,0,0.0791,0.772,-7.54,0.153,103.992,5,4
1qgb9TXSQqOHmVj5dBAtFX,Lingi Lingi Lingidi,0.742,0.0122,0.556,9.12E-06,0.107,0.826,-10.981,0.209,160.138,6,4
4ooaLueG56Bsq44TUNRgAn,"Poolamme Pilla (From ""HanuMan"") [Telugu]",0.745,0.215,0.844,0.000652,0.0916,0.873,-6.538,0.0816,155.961,5,4
0hujsbFzpm9RjOs4mnVclo,"Samayama (From ""Hi Nanna"")",0.706,0.623,0.751,0,0.0733,0.5,-5.196,0.0445,112.962,9,4
1JJjHoFLuQQKddOzD8pYsS,Andhamyna Bhamalu,0.75,0.127,0.724,0,0.136,0.881,-8.578,0.308,135.963,10,4
2cDyQDAoP0cPQXzaviXu2f,Vellake,0.652,0.684,0.626,1.81E-05,0.152,0.444,-7.619,0.0339,147.03,9,3
4wFU6Q4vInTg2HQ2mkko8x,Priya Mithunam (Telugu),0.18,0.917,0.247,0.0251,0.123,0.191,-12.075,0.0389,75.331,7,4
3GCwsB2loRGeUL8oq2Y4TW,Chamkeela Angeelesi,0.871,0.464,0.56,0,0.0461,0.828,-4.524,0.193,95.004,6,4
48CzymfD7NHtc78cwVkbtD,Pulsar Bike,0.794,0.168,0.985,0.473,0.269,0.798,-2.451,0.0724,129.062,0,1
59eeV0SIeyd431uyjAWCRe,"Mastaaru Mastaaru (From ""Sir"")(Telugu)",0.594,0.385,0.534,0,0.877,0.364,-8.007,0.0428,91.082,9,4
0X0Y2AnYuIdn9arB8P6EB4,Nenu Nuvvantu,0.743,0.153,0.616,2.01E-05,0.125,0.76,-8.798,0.0354,91.983,5,4
5lros38FrhzSXgABKnBsb4,"Jinthaak Chithaka (From ""Dhamaka"")",0.899,0.335,0.925,1.07E-06,0.0293,0.793,-3.844,0.168,109.966,2,4
3eIkuy5Fr7kuQXiro0czUM,Darshana,0.614,0.68,0.594,0.000606,0.0649,0.882,-8.359,0.297,178.17,3,3
6Vq4ePrJPZ2vU6DXnZGcVD,Pillaa Raa,0.414,0.623,0.591,9.94E-06,0.229,0.62,-7.568,0.136,185.922,9,3
5idQ5WN2CK5FeUhRQ4ZvKY,Thattukolede,0.652,0.428,0.477,0,0.131,0.325,-10.388,0.0325,129.985,4,4
29ffQxBUZLJdN3kiPndB9n,Neeti Mullai (Bit),0.683,0.827,0.261,0,0.137,0.671,-12.998,0.0336,105.049,7,4
1eWooUUh7E796VP86o15BN,Baguntundhi Nuvvu Navvithe,0.76,0.504,0.443,0.000797,0.0957,0.632,-9.128,0.0426,123.959,6,4
7gVqTSJ4Mr5uKkM9yhQKop,Rooba Rooba,0.843,0.125,0.611,0.00638,0.334,0.7,-8.864,0.0498,103.985,10,4
0WM0NpFIZg6JhgneUyU5tl,Inka Edho,0.64,0.333,0.784,0.00184,0.188,0.549,-6.674,0.0314,92.016,7,4
57zEYntUat0ofbFpoicN26,Uppenantha,0.677,0.185,0.792,2.49E-05,0.28,0.849,-2.612,0.133,171.956,9,4
4QMZ6gwFTLk9qOhaQsGIxf,Neeve,0.749,0.111,0.646,0.0426,0.22,0.752,-9.598,0.0389,129.996,2,4
6WCVnARSUrBrfzod8oAAQ3,Mellaga,0.78,0.153,0.833,1.37E-05,0.27,0.64,-4.862,0.132,79.977,1,4
2jRAFRpeDnibcHvtDgWRhG,Nuvvu Nuvvu,0.806,0.396,0.496,2.31E-05,0.0881,0.812,-8.548,0.0356,94.994,1,4
6Yqw4HtJuFXleJtgzYXWzT,Endhuko Emo,0.827,0.0577,0.629,0.000192,0.178,0.703,-5.135,0.0357,91.006,7,4
