id,name,danceability,acousticness,liveness,loudness,speechiness,label
https://open.spotify.com/embed/track/5gqhfk5hXAFMZZzwiENcVq,Le Le Lele,0.908,0.0142,0.0549,0.7310898136296945,0.0643,Cheerful
https://open.spotify.com/embed/track/6gZmBVAH2qEXqcTXVQBDcD,Chiguraku Chatu,0.764,0.195,0.183,0.7019948178440983,0.0654,Cheerful
https://open.spotify.com/embed/track/2RPC9OGiIbFnbo51H0cKRt,Chilakamma Mukkuki,0.758,0.218,0.182,0.680579402491181,0.142,Cheerful
https://open.spotify.com/embed/track/4NugyVw9Of2Z4uyBXf33tX,Chitti Nadumune,0.634,0.0818,0.572,0.7180095526488309,0.0863,Energetic
https://open.spotify.com/embed/track/7GRBX2LsuIYGPzjZ9ggnES,Emantaro,0.499,0.0923,0.142,0.7305903287235039,0.109,Cheerful
https://open.spotify.com/embed/track/57bRQzh6XEfIU4uGXz1p5j,Killi Killi,0.789,0.184,0.0243,0.7751069209877316,0.165,Cheerful
https://open.spotify.com/embed/track/0VcO1SA3oUKl1qHSUc6LxQ,Bombhaat,0.835,0.233,0.13,0.8179065338869292,0.174,Cheerful
https://open.spotify.com/embed/track/0T1IavVfIniuiSN6W7uI3V,Miss Sunshine,0.832,0.353,0.103,0.7243155495894859,0.0945,Chill
https://open.spotify.com/embed/track/7IMijW6lSRUgdHzWXaE2fF,Laggam Time,0.53,0.486,0.0487,0.8844941154434491,0.268,Chill
https://open.spotify.com/embed/track/6wH2LqRN3AFRyyZqUDsNCt,Freedom,0.674,0.407,0.258,0.8916429931633005,0.103,Chill
https://open.spotify.com/embed/track/28xt5x1wwoMfVYI9zfIwRx,Oh Sita Hey Rama,0.638,0.585,0.0909,0.5999125901414167,0.045,Chill
https://open.spotify.com/embed/track/0gE8ZP2cTXpRDz53bTkpu6,Inthandham,0.669,0.667,0.109,0.6560109886679363,0.059,Chill
https://open.spotify.com/embed/track/1bxzr3JK05fMTcweGAZUHp,"Chuttamalle (From ""Devara Part 1"")",0.677,0.136,0.161,0.7347110791995755,0.0797,Cheerful
https://open.spotify.com/embed/track/2gKNWPBrI2IRBl2RRUtoEb,"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",0.785,0.221,0.144,0.7487903099928199,0.0808,Cheerful
https://open.spotify.com/embed/track/0kNe3kmRFq7eKVlL15h7nb,Anuvanuvuu,0.228,0.851,0.126,0.68654200355883,0.0467,Romantic
https://open.spotify.com/embed/track/0qdiNx11tQtjFCqbko9i2k,"Garam Garam (From ""Saripodhaa Sanivaaram"")",0.589,0.0137,0.0708,0.7399244529079387,0.0482,Cheerful
https://open.spotify.com/embed/track/0yR49HoYJsJ27ey9rrtKql,"Oh My Baby (From ""Guntur Kaaram"")(Telugu)",0.881,0.762,0.197,0.7803515125027317,0.0528,Chill
https://open.spotify.com/embed/track/4Bb4Vgzp1kAebqI7KnDFPn,Ghallu Ghallu,0.709,0.117,0.582,0.6094340211656729,0.161,Energetic
https://open.spotify.com/embed/track/5kNydYWkUyXh4zVoy8QDmC,"Bhairava Anthem (From ""Kalki 2898 Ad"") (Telugu)",0.654,0.11,0.759,0.8689164299316332,0.0719,Energetic
https://open.spotify.com/embed/track/4WLb2gV1NHlCC6KMjsWVp6,"Aa Rojulu Malli Raavu (From ""Committee Kurrollu"")",0.72,0.753,0.406,0.7238785002965692,0.0334,Romantic
https://open.spotify.com/embed/track/2WtOJI2Pwk88RAZPeTgMp0,"Reppal Dappul (From ""Mr. Bachchan"")",0.428,0.0692,0.211,0.7599975025754692,0.113,Cheerful
https://open.spotify.com/embed/track/7vLR2TSzHEVUNlKm5dcYpo,"SteppaMaar (From ""Double ISMART"")(Telugu)",0.624,0.0165,0.435,0.7776043455186841,0.233,Energetic
https://open.spotify.com/embed/track/02VVOQId2O83I5hLJ1GFmH,Dai Dai Dhamma,0.856,0.231,0.15,0.6771766615677582,0.133,Cheerful
